case,dP_sim,dP_exp,err_dP%,Q_sim,Q_exp,err_Q%,wall_s,exit_A,simple_iters_A,outer_iters,converged,res_mass_legacy,res_mom,res_mass_local,res_mass_global,backflow_frac,mode,mom_tol
6,58807.252097420205,58702.7203898051,0.17806961401614724,2534.5965927710936,2513.932051245854,0.8220007981122133,0.4652147999731824,tol,245,3,False,0.0009064497100902519,8.96221418602566e-05,8.737372629124074e-08,2.6615468756179814e-07,0.0,f2@0.0001,0.0001
7,70689.81514341867,71067.29116766468,-0.5311529650897309,2622.8220624332203,2605.674844153385,0.6580720659874411,0.44381210004212335,tol,241,3,False,0.0008940940453787544,8.880311979814719e-05,1.0474273015385677e-07,1.8338456055647994e-07,0.0,f2@0.0001,0.0001
8,80864.77704687182,81996.5771881461,-1.3803016907367858,2821.469965424066,2795.7223192336955,0.9209657916751773,0.43297439999878407,tol,240,3,False,0.000885221794387936,8.560279132299996e-05,1.1210174807290786e-07,4.4939953195735086e-08,0.0,f2@0.0001,0.0001
9,92563.99973583473,94497.03459747173,-2.0456037270070286,2794.342562399293,2783.1181653308736,0.4033029286446053,0.4346095999935642,tol,235,3,False,0.0008737618996488236,8.951476071524456e-05,1.3532875219852346e-07,8.64628117403889e-09,0.0,f2@0.0001,0.0001
10,104314.97897551584,106605.26741914477,-2.148382063171513,2777.9928382786893,2775.7621661416856,0.08036250959153075,0.4426229000091553,tol,231,3,False,0.0008623019606902078,8.724348566464827e-05,1.4827760191327503e-07,5.734919510044985e-08,0.0,f2@0.0001,0.0001
11,116567.41485105982,118286.89393643984,-1.453651396327953,2774.2299357238508,2779.9905934861486,-0.20721860627139202,0.42940729996189475,tol,227,3,False,0.0008496503324296303,8.678130851967878e-05,1.6534407925625052e-07,1.3037309648446513e-07,0.0,f2@0.0001,0.0001
12,130531.33412473039,129212.5138101983,1.0206599002239964,2717.4892467662876,2535.868061142537,7.162091293579406,0.4354408000363037,tol,223,3,False,0.0008319990045991254,8.3531819676334e-05,1.820320439724558e-07,2.3026112425384497e-07,0.0,f2@0.0001,0.0001
13,145283.11092707206,140258.90562036054,3.5820936178630682,2703.5644003348575,2726.9328912092415,-0.8569514471630924,0.4097938000340946,tol,218,3,False,0.0008126308633958541,8.276997853562493e-05,2.0524936555723784e-07,3.4594123161235363e-07,0.0,f2@0.0001,0.0001
14,158840.636112925,151917.0532262114,4.5574757669924555,2618.2285072267814,2648.0398253390736,-1.1257881330570587,0.4027320999884978,tol,215,3,False,0.0007975497643233288,8.763055430303078e-05,2.439118396028649e-07,4.0696155249775463e-07,0.0,f2@0.0001,0.0001
15,170952.30562964975,165066.9057230455,3.565463277344625,2515.6707650881935,2560.5242848083044,-1.7517318615655637,0.3976670000120066,tol,212,3,False,0.0007895645499472349,8.187885529526436e-05,2.4203491053708223e-07,3.9725967878107544e-07,0.0,f2@0.0001,0.0001
16,181903.05603680664,178684.31775700935,1.8013546573093255,2425.7144691195663,2481.340390100858,-2.2417690536617805,0.38362639996921644,tol,209,3,False,0.0007860820287201695,8.669038158224606e-05,2.6978158100739697e-07,3.4018079469593285e-07,0.0,f2@0.0001,0.0001
1,1332.68383121135,1149.126601742696,15.97362981505103,251.25287887120115,248.39861410269177,1.1490663016861216,0.6214887000387534,tol,314,3,False,0.0008410820732781973,8.823652374240214e-06,2.6646701238676124e-10,4.3857674350957785e-09,0.0,f2@1e-05,1e-05
2,4911.591592061321,5195.172161611317,-5.458540366485992,631.5071632976513,621.0838013439777,1.6782537124810335,0.6133095999830402,tol,318,3,False,0.000911869255657153,8.191676001900223e-06,8.041972306470448e-10,1.5833285541851e-08,0.0,f2@1e-05,1e-05
3,10587.327932070759,11103.029520295204,-4.644692579460364,986.0124987282443,975.2318254909474,1.1054472337251462,0.5914141000248492,tol,318,3,False,0.0009316651651349877,8.517035657322906e-06,1.3915493573977788e-09,2.978466362055357e-08,0.0,f2@1e-05,1e-05
