case,topo,side,mdot,Tin_C,Pin_MPa,Tout_C,Pout_MPa,Q_kW,dP_MPa,HB,done,T_mean_K,P_mean_Pa,T_other_K,rho,mu,cp,k,Pr,u,Re,f,T_wall_K,dT_streams_K,h,Nu,ok_dp,ok_dT,ok_hb,ok_done,Nu_cfd,gamma_Nu,metric,f_cfd,gamma_f,dP_gauge_MPa
23,Diamond,hot,0.12297697649572652,225.14615384615385,8.286250000000003,130.68269230769232,8.175999999999998,13.459274975054637,0.11025000000000418,0.092834315368692,完成,451.06442307692305,8231125.000000001,420.76249999999993,105.95907475538036,2.3523685839203702e-05,1155.6077767633749,0.03292327107918537,0.8256820602223981,1.9552486945881011,22890.6429087958,7.773529276474149,435.9134615384615,30.301923076923117,5283.267193806323,417.0832956134331,True,True,True,True,,,f,1.119319345817237,6.944871725413218,
24,Diamond,hot,0.14889437996031749,212.49642857142848,8.677196428571431,129.57678571428568,8.528071428571426,14.464201911024333,0.14912500000000506,0.10894281992911364,完成,444.18660714285704,8602633.92857143,415.6294642857142,113.73384052459606,2.3380048817721007e-05,1171.903937189702,0.032737727316059805,0.8369295460449926,2.2054892826014787,27885.115124352073,7.698970503002166,429.90803571428563,28.55714285714282,6024.6361317646515,478.305631646293,True,True,True,True,,,f,1.0784227173554715,7.139102671985366,
25,Diamond,hot,0.04861751883239172,163.08644067796604,8.498050847457627,129.935593220339,8.47864406779661,1.9388769659637606,0.01940677966101667,-0.1258203782734355,重做,419.6610169491525,8488347.457627118,418.04067796610167,122.3935900941983,2.2456659804651602e-05,1203.873400141826,0.03125332158963974,0.8650272681357526,0.6691915800058136,9479.53820175854,10.112899058028685,418.8508474576271,1.6203389830508286,14232.967940497118,1183.6477846934204,True,False,True,True,,,f,1.3270527429936168,7.62057055487909,
26,Diamond,hot,0.07452112599206351,170.65178571428572,8.94842857142857,133.7767857142857,8.91282142857143,3.316742076865857,0.03560714285714006,-0.02978528732767698,完成,425.3642857142857,8930625.0,421.8321428571428,126.83515038401822,2.2815972665228e-05,1209.2446361393809,0.031905077525923045,0.8647555405973422,0.9898197858145471,14301.446650790122,8.184026823507903,423.5982142857142,3.532142857142901,11169.263600471468,909.8879963322617,True,False,True,True,,,f,1.2245728769745523,6.683168456031363,
27,Diamond,hot,0.09883597505668935,176.2816326530613,8.719612244897961,136.03469387755095,8.654530612244898,4.729086541568864,0.06508163265306344,0.01375405269657326,完成,429.3081632653061,8687071.42857143,423.6091836734694,121.1416593122237,2.286992588660942e-05,1194.114625743078,0.031933440575439724,0.8551948208131498,1.3744782875248105,18922.99365776692,8.12214915617291,426.45867346938775,5.698979591836746,9870.320624469236,803.3573044120967,True,False,True,True,,,f,1.1605243592246957,6.998689076719616,
28,Diamond,hot,0.12361851307189549,169.57058823529414,8.81535294117647,135.93725490196078,8.71613725490196,4.947097986354759,0.09921568627451016,0.0728841036506909,完成,425.9039215686274,8765745.098039215,420.34803921568624,123.9381347683417,2.277630816811224e-05,1202.4821837523928,0.03180604239471977,0.8610975375029954,1.6803312730357083,23765.104869771756,8.09780606093449,423.12598039215686,5.5558823529411825,10591.282988429597,865.4901664918405,True,False,True,True,,,f,1.1114118982403016,7.286053058956581,
29,Diamond,hot,0.14921235875706212,172.74915254237288,9.300322033898308,138.1423728813559,9.164949152542372,6.180287735207423,0.13537288135593606,0.10855225280020263,完成,428.5957627118644,9232635.59322034,421.9966101694915,130.08562165976676,2.303643011325662e-05,1213.7385051723188,0.03230938028733998,0.8653896175509914,1.9323769555695565,28361.498086061125,7.959769354339973,425.29618644067796,6.599152542372906,11139.652110935418,896.1200600483194,True,False,True,True,,,f,1.0749950248515872,7.404470876913027,
30,Diamond,hot,0.17169498971193412,168.5901234567901,9.57040740740741,139.63580246913588,9.402246913580246,5.957076107740671,0.16816049382716436,0.13469640161556073,完成,427.262962962963,9486327.160493828,422.9061728395061,134.82822592834856,2.3084570756925163e-05,1225.1517083191293,0.032441677014714745,0.8717829625710353,2.145325290776165,32566.82109902706,7.73995892073845,425.08456790123455,4.3567901234569035,16263.634653564266,1302.9792896045187,True,False,True,True,,,f,1.0474849421121994,7.389088481912896,
31,Diamond,hot,0.04855517676767677,192.419696969697,8.564439393939399,136.72727272727272,8.544787878787881,3.192033342485596,0.01965151515151753,-0.04096861326458926,完成,437.7234848484848,8554613.63636364,428.2030303030303,115.55644355649586,2.3129644818133965e-05,1178.0678728108132,0.03232149827032341,0.8430392440930643,0.7078768716758681,9191.917667600963,9.693223674922294,432.96325757575755,9.520454545454527,3988.0522146939406,320.6952671931661,True,False,True,True,,,f,1.3351817209773915,7.259853488577251,
32,Diamond,hot,0.07456108695652174,200.89999999999998,9.074565217391303,141.90144927536232,9.037304347826089,5.215076536902769,0.03726086956521435,0.0123396568809081,完成,444.5507246376811,9055934.782608695,432.5166666666666,120.20701680516926,2.3535052029323206e-05,1184.0427301851778,0.03305999960947334,0.8429070656088246,1.044957823570989,13871.921347490364,8.10788256581847,438.53369565217383,12.034057971014533,5154.656002591789,405.2472188022042,True,True,True,True,,,f,1.2318123128668705,6.5820762474345695,
33,Diamond,hot,0.09960358828006084,209.41232876712328,9.677123287671236,145.8534246575343,9.61439726027397,7.552702832924385,0.06272602739726629,0.060057018948655186,完成,450.78287671232874,9645760.273972603,435.2212328767123,126.16478377512082,2.3943355765568837e-05,1192.3720944193524,0.033803882236961805,0.8445594817036296,1.3300047357049376,18215.0142669166,8.02758786771038,443.0020547945205,15.56164383561645,5772.95306528977,443.86882734270216,True,True,True,True,,,f,1.1689983124384493,6.867065403170163,
34,Diamond,hot,0.1293984982638889,221.13750000000005,9.274999999999997,147.37656249999995,9.162593750000001,11.19906844328477,0.11240624999999582,0.1064148949006088,完成,457.40703125,9218796.874999998,435.68046874999993,117.47093266527267,2.4044217472453195e-05,1174.4238162752795,0.033889889297543226,0.8332308611405909,1.8557316291104453,23564.495090082444,7.936180004621697,446.54374999999993,21.726562500000057,6131.150547739814,470.21343017986015,True,True,True,True,,,f,1.113194091991046,7.129197021183555,
35,Diamond,hot,0.14937667257683215,214.89361702127664,9.680765957446807,145.24468085106386,9.539744680851069,12.333562577761088,0.1410212765957386,0.10957963225107388,完成,453.2191489361702,9610255.319148937,431.69893617021273,124.63127534025666,2.4016768930892346e-05,1188.546982547129,0.033913177238428904,0.8417099360126524,2.01916631586635,27233.76912297619,7.926751150753415,442.45904255319147,21.520212765957467,6816.996663060261,522.4536902228438,True,True,True,True,,,f,1.0832266201148992,7.317721890838147,
36,Diamond,hot,0.1766349547803618,165.81511627906974,9.442523255813954,134.23139534883722,9.265034883720931,6.709376963562134,0.17748837209302337,0.16176521379602057,完成,423.17325581395346,9353779.069767443,416.1680232558139,134.8294111081849,2.2897670706105293e-05,1228.992536027381,0.03213328741072394,0.8757605790693116,2.2070306501148402,33777.29726273296,7.718809922673197,419.67063953488366,7.005232558139539,11392.282249251939,921.4648577589484,True,False,False,True,,,f,1.0403592805351998,7.419369507332459,
37,Diamond,hot,0.04859173611111111,220.73749999999998,8.425104166666669,145.62916666666666,8.405479166666668,4.232131890292765,0.019625000000001336,-0.00419915400550702,完成,456.3333333333333,8415291.666666668,442.5489583333333,106.74585599018299,2.3771663122322197e-05,1155.9861208392665,0.03334121562339944,0.8241964824877395,0.7668805842666251,8950.399055885377,8.928632813634248,449.4411458333333,13.784375000000011,3651.9364771407377,284.6852614839058,True,True,True,True,,,f,1.342261267084924,6.6519335933943315,
38,Diamond,hot,0.07454945454545456,228.9090909090909,8.920981818181819,151.26363636363632,8.880036363636364,6.742355999065299,0.040945454545454396,0.03160182249216559,完成,463.2363636363636,8900509.090909092,446.6172727272726,111.02130497417222,2.4162035729024272e-05,1162.074928288521,0.03408260447475562,0.8238248329263543,1.1312393224515653,13509.84909317993,8.231371252950785,454.92681818181813,16.61909090909097,4825.646633456484,367.9984092698071,True,True,True,True,,,f,1.2381353258349408,6.6481999836325905,
