variant,topo,mdot,Re_ref,dp_meas,dp_pred_med,ape,lo68,hi68,lo95,hi95,in68,in95,choked_frac,n_loo,gamma_total_med
pooled,Diamond,0.00864,1815.5714407967805,16583.617047509455,16777.517380506564,0.01169228235562937,15494.56512089212,18283.341772221735,14321.732808677336,19882.187535920515,True,True,0.0,29,2.4707074227847796
pooled,Diamond,0.0108,2266.732921935153,23832.051932155973,24590.489428079425,0.03182426331071022,22630.28577443022,26751.59779892236,20583.486112974904,29223.167570358437,True,True,0.0,29,2.4718671883884973
pooled,Diamond,0.012960000000000001,2708.187048280329,31678.89630549519,33219.74018923779,0.04863944339737989,30487.583383486664,36406.87501128924,27838.075549610156,39972.50447035038,True,True,0.0,29,2.472586163181883
pooled,Diamond,0.01512,3153.7640748957333,39742.18268604903,42381.83309850835,0.06641936184813356,38669.64190339289,46464.08617447947,35355.20456107092,51367.37014944516,True,True,0.0,29,2.4732657648658485
pooled,Diamond,0.01728,3608.8047922956894,47690.350562222426,52165.25122495383,0.09383241284613585,47585.73554822212,57332.630684059455,43350.54396015881,63433.64621745761,True,True,0.0,29,2.4757729032183216
pooled,Diamond,0.01944,4037.7532420233974,56502.55689158302,62462.61515659249,0.10548298330012944,56937.5844786477,68995.30307568831,52047.38619049693,76898.3162193461,False,True,0.0,29,2.476943161430426
pooled,Diamond,0.025920000000000002,5376.63108142294,81883.26089065683,95171.83646245506,0.16228683893699813,85544.53176468491,105487.67340946046,77063.58100976968,117849.39820215177,False,True,0.0,29,2.478423908668585
pooled,Diamond,0.028079999999999997,5805.114393549947,90676.31743421053,105426.32039278462,0.16266654156170193,94054.31035500503,117118.88952540826,85124.25373355721,131765.13725264414,False,True,0.0,29,2.4780845191270893
pooled,Diamond,0.03024,6259.46463853593,99710.73078793773,115388.24133053985,0.15722992318594728,103630.54091698736,128216.17799150269,93353.01268405521,145426.81443700142,False,True,0.0,29,2.476743205943513
pooled,Diamond,0.032400000000000005,6740.392670147788,108443.83606959078,122918.49072058024,0.1334760478382632,110715.26756893718,138693.33381641004,100373.09141933054,158064.99520718402,False,True,0.0,29,2.4776649140932943
pooled,Diamond,0.03456,7221.7597013040995,116867.33055618104,130677.20439341821,0.11816710257276239,117274.89002123353,147243.08160762108,105284.53018521628,169023.01482997357,False,True,0.0,29,2.477188280432811
pooled,Diamond,0.03672,7714.110678153627,124996.79376083189,138642.12336141657,0.10916543688867388,124527.62167878795,154751.30401920562,111991.12386441929,177590.19139376897,True,True,0.0,29,2.4754326371984883
pooled,Diamond,0.03888,8196.014122824838,133780.381930981,144939.95430850328,0.08341710657755214,129957.27374403008,163570.41559564063,116387.29579050494,185954.7849295586,True,True,0.0,29,2.4707337603491855
pooled,Gyroid,0.004553830392670158,881.4033657889896,3924.818677589801,3820.9550884445707,0.026463283447532973,3546.266702332759,4116.100754637265,3285.230922237096,4458.597152095882,True,True,0.0,29,2.313612880492701
pooled,Gyroid,0.006830745589005235,1317.8227464653103,8209.55638630965,8005.374779244696,0.024871210752075507,7431.793647658133,8615.086080825446,6910.880405361784,9359.638744561784,True,True,0.0,29,2.313191899454459
pooled,Gyroid,0.009107660785340315,1727.6149083465832,13787.235496365782,13742.641315728557,0.003234454118737545,12667.639935044052,14943.185460976681,11786.780556655522,16240.674963041563,True,True,0.0,29,2.3140572557466212
pooled,Gyroid,0.01366149117801047,2582.1960689994617,27921.858939620543,28082.61420919207,0.005757326900015929,25673.32444420332,30614.5169960405,23516.579073263703,33435.4138520098,True,True,0.0,29,2.3117926331261893
pooled,Gyroid,0.01821532157068063,3442.3565124922648,46042.5305387308,44078.55888133434,0.04265559764888196,40252.86000786082,48673.32959912615,36872.26184376251,53847.8673169492,True,True,0.0,29,2.3091595525811495
pooled,Gyroid,0.02049223676701571,3843.187231836563,56046.62363444229,52771.28860764704,0.05843947082625793,48062.76648825244,58087.49207029246,44027.53079689294,64231.266982072484,True,True,0.0,29,2.3090816757327692
pooled,Gyroid,0.022769151963350782,4271.345629767583,62309.807799404334,64565.801425232785,0.036206075825032755,57841.4527172042,71761.696812426,52532.35992813325,80777.01858551582,True,True,0.0,29,2.3171411013124272
pooled,Gyroid,0.02504606715968586,4748.848474728925,73641.04089177358,71492.2996138082,0.0291785837346226,64879.15865503746,79252.19090765974,59194.0448485849,88528.24206502202,True,True,0.0,29,2.308789229006249
pooled,Gyroid,0.02732298235602094,5222.185771720302,83789.60198831873,79248.40831247515,0.05419758022572626,71214.36583955845,87426.76935189942,64850.328855421234,96730.28754105566,True,True,0.0,29,2.306422645007306
pooled,Gyroid,0.02959989755235602,5708.604734182183,93533.85065304069,87555.74395955686,0.06391383067996773,78796.43117424799,97114.07520113746,71057.05626750195,110014.82471234132,True,True,0.0,29,2.3053633728674905
pooled,Gyroid,0.0318768127486911,6196.634763762618,102535.5673580965,96337.23048584198,0.06045060296596754,86733.58454996784,107691.78723313705,78159.18063892229,121005.43861661234,True,True,0.0,29,2.3055754546060054
pooled,Gyroid,0.03415372794502618,6587.0557508762495,116322.75383314301,102835.60759740433,0.1159458987283353,92765.56202826086,114528.22381511511,84024.7455472185,128318.2588548472,False,True,0.0,29,2.2993754338708534
pooled,Gyroid,0.03643064314136126,7188.11783023648,119786.0396792155,115269.07887069289,0.03770857456026539,103151.83993019047,129742.09298463346,92796.84189044239,150159.3077636737,True,True,0.0,29,2.307272023386342
pooled,Gyroid,0.03870755833769634,7703.348326420853,129523.40487451319,123120.08053274946,0.049437585029265506,109736.93023080405,137874.73138482656,99815.97460577184,156718.39673681176,True,True,0.0,29,2.30605168051945
pooled,Gyroid,0.04098447353403142,8234.92604082161,140774.7644628099,127843.45139178218,0.09185817586250648,114854.63616609683,143418.29009311224,104054.30337666233,162258.22656069137,True,True,0.0,29,2.3039108574862635
