fluid,topo,Re,G,cF_meas,darcy_frac,A_used
sco2,Gyroid,16643.274059036597,114.07005297727345,1478.4171382701525,0.00271976281618128,0.0006491520000000001
sco2,Gyroid,21908.234699029465,151.6620547891344,1493.213284332127,0.002047059210308477,0.0006491520000000001
sco2,Gyroid,27436.60567679716,189.2272548769078,1499.587723568095,0.001628319289532179,0.0006491520000000001
sco2,Gyroid,33166.288245733645,229.43889407560468,1489.588994856083,0.0013564280343282852,0.0006491520000000001
sco2,Gyroid,40024.394158876414,270.32338717734854,1463.713359277034,0.0011441200571952162,0.0006491520000000001
sco2,Gyroid,10632.405680243332,74.34153016774651,1543.1000736580165,0.004073345954964937,0.0006491520000000001
sco2,Gyroid,16161.319416467204,114.12803849398047,1499.2429965662627,0.0027618469945193715,0.0006491520000000001
sco2,Gyroid,21258.93112077838,151.6962629120354,1508.5692481629233,0.002088022298034095,0.0006491520000000001
sco2,Gyroid,27086.733445513666,189.4602556853179,1518.0000748921027,0.0016293446264644582,0.0006491520000000001
sco2,Gyroid,10780.042145831583,74.3092140367653,1471.265386229215,0.0042131264386938904,0.0006491520000000001
sco2,Gyroid,16390.38476928591,114.1032515383952,1500.955873568653,0.0027202542492879293,0.0006491520000000001
sco2,Gyroid,21644.64544536949,151.25117075815834,1516.4610497874053,0.0020402381621671827,0.0006491520000000001
sco2,Gyroid,27036.793140752394,189.25907167569662,1529.4871340510697,0.0016201095816953555,0.0006491520000000001
